species_name,source_image,crop_path
ROTEN,20250510 10k-16-01 000330.jpg,20250510 10k-16-01 000330.jpg
SATEN,20250510 10k-16-01 000392.jpg,20250510 10k-16-01 000392.jpg
ROTEN,20250510 10k-03-11 000312.jpg,20250510 10k-03-11 000312.jpg
SATEN,20250510 10k-03-11 000939.jpg,20250510 10k-03-11 000939.jpg
ROTEN,20250510 10k-05-10 000817.jpg,20250510 10k-05-10 000817.jpg
SATEN,20250510 10k-03-11 000320.jpg,20250510 10k-03-11 000320.jpg
SATEN,20250510 10k-05-10 000187.jpg,20250510 10k-05-10 000187.jpg
SATEN,20250510 10k-03-11 000076.jpg,20250510 10k-03-11 000076.jpg
SATEN,20250510 10k-16-01 000459.jpg,20250510 10k-16-01 000459.jpg
ROTEN,20250510 10k-03-11 000069.jpg,20250510 10k-03-11 000069.jpg
ROTEN,20250510 10k-03-11 000628.jpg,20250510 10k-03-11 000628.jpg
ROTEN,20250510 10k-03-11 000435.jpg,20250510 10k-03-11 000435.jpg
ROTEN,20250510 10k-16-01 000298.jpg,20250510 10k-16-01 000298.jpg
SATEN,20250510 10k-16-01 000311.jpg,20250510 10k-16-01 000311.jpg
SATEN,20250510 10k-03-11 000086.jpg,20250510 10k-03-11 000086.jpg
ROTEN,20250510 10k-16-01 000477.jpg,20250510 10k-16-01 000477.jpg
SATEN,20250510 10k-05-10 000241.jpg,20250510 10k-05-10 000241.jpg
SATEN,20250510 10k-16-01 000583.jpg,20250510 10k-16-01 000583.jpg
ROTEN,20250510 10k-16-01 000242.jpg,20250510 10k-16-01 000242.jpg
ROTEN,20250510 10k-03-11 000488.jpg,20250510 10k-03-11 000488.jpg
ROTEN,20250510 10k-05-10 000430.jpg,20250510 10k-05-10 000430.jpg
SATEN,20250510 10k-16-01 000600.jpg,20250510 10k-16-01 000600.jpg
ROTEN,20250510 10k-16-01 000514.jpg,20250510 10k-16-01 000514.jpg
ROTEN,20250510 10k-16-01 000428.jpg,20250510 10k-16-01 000428.jpg
SATEN,20250510 10k-16-01 000601.jpg,20250510 10k-16-01 000601.jpg
ROTEN,20250510 10k-05-10 000266.jpg,20250510 10k-05-10 000266.jpg
SATEN,20250510 10k-03-11 000472.jpg,20250510 10k-03-11 000472.jpg
ROTEN,20250510 10k-03-11 000368.jpg,20250510 10k-03-11 000368.jpg
ROTEN,20250510 10k-05-10 000075.jpg,20250510 10k-05-10 000075.jpg
SATEN,20250510 10k-05-10 000368.jpg,20250510 10k-05-10 000368.jpg
SATEN,20250510 10k-05-10 000300.jpg,20250510 10k-05-10 000300.jpg
SATEN,20250510 10k-05-10 000398.jpg,20250510 10k-05-10 000398.jpg
ROTEN,20250510 10k-03-11 000422.jpg,20250510 10k-03-11 000422.jpg
SATEN,20250510 10k-16-01 000458.jpg,20250510 10k-16-01 000458.jpg
SATEN,20250510 10k-03-11 000828.jpg,20250510 10k-03-11 000828.jpg
ROTEN,20250510 10k-05-10 000498.jpg,20250510 10k-05-10 000498.jpg
SATEN,20250510 10k-03-11 000871.jpg,20250510 10k-03-11 000871.jpg
ROTEN,20250510 10k-03-11 000214.jpg,20250510 10k-03-11 000214.jpg
SATEN,20250510 10k-16-01 000577.jpg,20250510 10k-16-01 000577.jpg
SATEN,20250510 10k-03-11 000085.jpg,20250510 10k-03-11 000085.jpg
SATEN,20250510 10k-05-10 000403.jpg,20250510 10k-05-10 000403.jpg
ROTEN,20250510 10k-03-11 000208.jpg,20250510 10k-03-11 000208.jpg
SATEN,20250510 10k-03-11 000868.jpg,20250510 10k-03-11 000868.jpg
SATEN,20250510 10k-03-11 000310.jpg,20250510 10k-03-11 000310.jpg
SATEN,20250510 10k-03-11 000958.jpg,20250510 10k-03-11 000958.jpg
SATEN,20250510 10k-03-11 000147.jpg,20250510 10k-03-11 000147.jpg
ROTEN,20250510 10k-03-11 000339.jpg,20250510 10k-03-11 000339.jpg
SATEN,20250510 10k-16-01 000189.jpg,20250510 10k-16-01 000189.jpg
SATEN,20250510 10k-05-10 000370.jpg,20250510 10k-05-10 000370.jpg
ROTEN,20250510 10k-05-10 000302.jpg,20250510 10k-05-10 000302.jpg
SATEN,20250510 10k-05-10 000193.jpg,20250510 10k-05-10 000193.jpg
SATEN,20250510 10k-03-11 000915.jpg,20250510 10k-03-11 000915.jpg
ROTEN,20250510 10k-03-11 000812.jpg,20250510 10k-03-11 000812.jpg
SATEN,20250510 10k-05-10 000053.jpg,20250510 10k-05-10 000053.jpg
ROTEN,20250510 10k-03-11 000793.jpg,20250510 10k-03-11 000793.jpg
